"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2013-01-18,111,6,1,2
2013-01-19,61,3,0,1
2013-01-20,52,3,0,0
2013-01-21,180,15,1,1
2013-01-22,143,5,2,2
2013-01-23,146,11,0,2
2013-01-24,134,14,2,1
2013-01-25,136,11,1,4
2013-01-26,70,2,0,0
2013-01-27,60,0,0,0
2013-01-28,142,9,0,0
2013-01-29,118,12,0,0
2013-01-30,126,7,1,1
2013-01-31,223,8,0,1
2013-02-01,237,10,0,3
2013-02-02,91,9,0,1
2013-02-03,106,3,0,1
2013-02-04,214,6,2,3
2013-02-05,229,15,1,5
2013-02-06,245,13,1,4
2013-02-07,155,10,1,3
2013-02-08,129,10,0,0
2013-02-09,86,5,0,2
2013-02-10,117,6,0,2
2013-02-11,216,13,0,1
2013-02-12,226,22,3,1
2013-02-13,192,24,0,2
2013-02-14,189,13,3,3
2013-02-15,135,5,0,1
2013-02-16,93,6,0,2
2013-02-17,93,7,0,1
2013-02-18,220,14,0,3
2013-02-19,269,15,2,4
2013-02-20,200,14,0,5
2013-02-21,175,16,1,7
2013-02-22,139,3,0,4
2013-02-23,95,4,0,0
2013-02-24,92,11,1,2
2013-02-25,207,19,1,4
2013-02-26,238,14,0,0
2013-02-27,175,18,0,1
2013-02-28,205,16,4,3
2013-03-01,200,13,2,4
2013-03-02,76,5,0,0
2013-03-03,93,8,0,1
2013-03-04,199,12,0,2
2013-03-05,280,29,1,2
2013-03-06,214,13,1,2
2013-03-07,194,15,0,5
2013-03-08,169,10,2,4
2013-03-09,82,5,0,0
2013-03-10,91,7,1,1
2013-03-11,185,14,0,3
2013-03-12,180,13,0,2
2013-03-13,179,13,1,2
2013-03-14,210,18,1,4
2013-03-15,133,18,1,1
2013-03-16,64,3,0,0
2013-03-17,47,4,1,0
2013-03-18,83,9,0,3
2013-03-19,220,13,4,1
2013-03-20,202,10,0,5
2013-03-21,193,16,0,1
2013-03-22,152,12,0,0
2013-03-23,80,9,0,1
2013-03-24,73,11,0,0
2013-03-25,171,9,0,2
2013-03-26,141,11,0,0
2013-03-27,105,11,1,2
2013-03-28,53,6,1,0
2013-03-29,51,2,0,1
2013-03-30,42,3,1,2
2013-03-31,54,2,0,0
2013-04-01,146,14,2,5
2013-04-02,180,15,0,4
2013-04-03,213,13,0,1
2013-04-04,197,19,0,1
2013-04-05,172,9,2,2
2013-04-06,56,2,0,0
2013-04-07,63,6,0,0
2013-04-08,156,12,0,0
2013-04-09,192,11,2,5
2013-04-10,118,8,0,2
2013-04-11,145,8,0,5
2013-04-12,133,10,0,1
2013-04-13,67,6,0,1
2013-04-14,67,4,0,0
2013-04-15,147,14,0,1
2013-04-16,117,5,1,1
2013-04-17,142,5,1,2
2013-04-18,135,7,1,3
2013-04-19,117,3,0,1
2013-04-20,62,3,0,2
2013-04-21,38,3,0,0
2013-04-22,112,6,0,3
2013-04-23,140,8,1,4
2013-04-24,129,8,0,2
2013-04-25,118,7,0,3
2013-04-26,124,9,0,3
2013-04-27,65,3,0,0
2013-04-28,58,2,0,0
2013-04-29,126,7,1,3
2013-04-30,118,5,0,1
2013-05-01,52,4,0,2
2013-05-02,90,4,0,4
2013-05-03,85,6,1,0
2013-05-04,60,3,0,0
2013-05-05,62,1,0,0
2013-05-06,137,5,0,2
2013-05-07,138,14,1,1
2013-05-08,133,3,0,0
2013-05-09,103,8,0,2
2013-05-10,83,4,0,0
2013-05-11,52,4,0,1
2013-05-12,44,2,0,1
2013-05-13,142,7,0,0
2013-05-14,123,11,0,1
2013-05-15,95,4,0,0
2013-05-16,121,4,0,2
2013-05-17,86,7,0,0
2013-05-18,44,1,0,1
2013-05-19,53,4,0,0
2013-05-20,107,4,0,0
2013-05-21,176,9,1,2
2013-05-22,184,19,0,5
2013-05-23,207,17,2,4
2013-05-24,103,9,0,2
2013-05-25,52,4,0,0
2013-05-26,63,5,1,0
2013-05-27,149,9,0,2
2013-05-28,163,8,1,2
2013-05-29,143,10,0,2
2013-05-30,128,10,1,0
2013-05-31,81,6,0,2
2013-06-01,57,2,1,0
2013-06-02,49,4,1,0
2013-06-03,149,5,0,1
2013-06-04,155,15,3,4
2013-06-05,140,13,0,1
2013-06-06,129,10,2,3
2013-06-07,105,6,0,0
2013-06-08,61,4,0,0
2013-06-09,58,5,0,0
2013-06-10,142,7,1,2
2013-06-11,102,4,0,2
2013-06-12,109,3,0,0
2013-06-13,105,10,0,1
2013-06-14,102,10,2,1
2013-06-15,46,2,0,0
2013-06-16,41,4,0,0
2013-06-17,114,6,0,3
2013-06-18,122,11,0,2
2013-06-19,113,11,1,1
2013-06-20,96,8,1,0
2013-06-21,87,7,2,1
2013-06-22,41,4,0,1
2013-06-23,41,0,0,2
2013-06-24,178,12,0,2
2013-06-25,115,6,0,2
2013-06-26,95,6,1,1
2013-06-27,122,12,3,3
2013-06-28,96,5,1,4
2013-06-29,41,3,1,2
2013-06-30,32,1,0,0
2013-07-01,185,12,0,2
2013-07-02,196,8,0,4
2013-07-03,133,5,3,4
2013-07-04,147,5,3,1
2013-07-05,114,12,0,0
2013-07-06,51,3,0,0
2013-07-07,60,4,0,1
2013-07-08,108,11,0,4
2013-07-09,119,10,0,2
2013-07-10,141,6,0,0
2013-07-11,123,7,0,1
2013-07-12,107,16,0,1
2013-07-13,42,2,1,0
2013-07-14,32,4,0,0
2013-07-15,82,3,0,0
2013-07-16,117,7,0,3
2013-07-17,109,2,0,3
2013-07-18,145,9,1,2
2013-07-19,82,5,0,3
2013-07-20,24,2,0,0
2013-07-21,36,3,0,0
2013-07-22,97,6,0,0
2013-07-23,101,5,0,0
2013-07-24,78,5,1,1
2013-07-25,92,7,0,2
2013-07-26,67,5,0,0
2013-07-27,38,1,1,0
2013-07-28,39,2,0,0
2013-07-29,87,4,1,2
2013-07-30,106,9,1,1
2013-07-31,107,10,0,1
2013-08-01,76,5,0,1
2013-08-02,68,6,0,2
2013-08-03,35,1,0,1
2013-08-04,30,0,0,0
2013-08-05,78,8,1,2
2013-08-06,111,10,1,2
2013-08-07,124,8,3,0
2013-08-08,58,5,0,0
2013-08-09,45,3,0,0
2013-08-10,33,3,0,0
2013-08-11,29,5,0,1
2013-08-12,70,6,0,1
2013-08-13,77,7,0,0
2013-08-14,66,4,0,2
2013-08-15,31,0,0,0
2013-08-16,51,3,0,0
2013-08-17,36,7,0,1
2013-08-18,40,3,1,0
2013-08-19,101,7,0,4
2013-08-20,79,11,0,1
2013-08-21,101,7,3,0
